order,group_code,full_code,archive_code,archive_name,cycle_days,planned_start,planned_end,status,route_reason
1,MATH,math.PR,PR,"Probability",30,2026-06-15,2026-07-14,active_from_2026-06-15,"probability / stochastic process bridge to Q-FIN, PHYS, AI uncertainty"
2,MATH,math.ST,ST,"Statistics Theory",30,2026-07-15,2026-08-13,queued,"statistical inference and evidence quality"
3,MATH,math.OC,OC,"Optimization and Control",30,2026-08-14,2026-09-12,queued,"control, operations research, game theory, decision systems"
4,MATH,math.IT,IT,"Information Theory",30,2026-09-13,2026-10-12,queued,"information/coding theory bridge to AI and communication"
5,MATH,math.NA,NA,"Numerical Analysis",30,2026-10-13,2026-11-11,queued,"numerical algorithms and scientific computation"
6,MATH,math.DS,DS,"Dynamical Systems",30,2026-11-12,2026-12-11,queued,"dynamics, flows, complex systems"
7,MATH,math.FA,FA,"Functional Analysis",30,2026-12-12,2027-01-10,queued,"function spaces, operators, distributions"
8,MATH,math.AP,AP,"Analysis of PDEs",30,2027-01-11,2027-02-09,queued,"PDE dynamics and stability"
9,MATH,math.CO,CO,"Combinatorics",30,2027-02-10,2027-03-11,queued,"discrete structures, graphs, combinatorial optimization"
10,MATH,math.LO,LO,"Logic",30,2027-03-12,2027-04-10,queued,"formal systems and rigorous reasoning"
11,MATH,math.MP,MP,"Mathematical Physics",30,2027-04-11,2027-05-10,queued,"math-ph bridge to physical theory"
12,MATH,math.SP,SP,"Spectral Theory",30,2027-05-11,2027-06-09,queued,"operators, random matrices, resonances"
13,MATH,math.CA,CA,"Classical Analysis and ODEs",30,2027-06-10,2027-07-09,queued,"analysis and ODE foundations"
14,MATH,math.DG,DG,"Differential Geometry",30,2027-07-10,2027-08-08,queued,"geometry, relativity, gauge theory"
15,MATH,math.MG,MG,"Metric Geometry",30,2027-08-09,2027-09-07,queued,"distance, convex, coarse geometry"
16,MATH,math.CT,CT,"Category Theory",30,2027-09-08,2027-10-07,queued,"abstraction, compositional structure"
17,MATH,math.RT,RT,"Representation Theory",30,2027-10-08,2027-11-06,queued,"linear representations and Lie theory"
18,MATH,math.GR,GR,"Group Theory",30,2027-11-07,2027-12-06,queued,"symmetry and algebraic structure"
19,MATH,math.OA,OA,"Operator Algebras",30,2027-12-07,2028-01-05,queued,"operator algebras and non-commutative geometry"
20,MATH,math.QA,QA,"Quantum Algebra",30,2028-01-06,2028-02-04,queued,"quantum groups and diagrammatic algebra"
21,MATH,math.AG,AG,"Algebraic Geometry",30,2028-02-05,2028-03-05,queued,"varieties, sheaves, schemes, moduli"
22,MATH,math.NT,NT,"Number Theory",30,2028-03-06,2028-04-04,queued,"prime numbers and arithmetic geometry"
23,MATH,math.AC,AC,"Commutative Algebra",30,2028-04-05,2028-05-04,queued,"rings, modules, ideals"
24,MATH,math.RA,RA,"Rings and Algebras",30,2028-05-05,2028-06-03,queued,"non-commutative rings and algebras"
25,MATH,math.AT,AT,"Algebraic Topology",30,2028-06-04,2028-07-03,queued,"homotopy and homological algebra"
26,MATH,math.GT,GT,"Geometric Topology",30,2028-07-04,2028-08-02,queued,"manifolds and geometric structures"
27,MATH,math.SG,SG,"Symplectic Geometry",30,2028-08-03,2028-09-01,queued,"Hamiltonian systems and symplectic flows"
28,MATH,math.CV,CV,"Complex Variables",30,2028-09-02,2028-10-01,queued,"holomorphic functions and complex geometry"
29,MATH,math.KT,KT,"K-Theory and Homology",30,2028-10-02,2028-10-31,queued,"K-theory and homology"
30,MATH,math.GN,GN,"General Topology",30,2028-11-01,2028-11-30,queued,"point-set topology and spaces"
31,MATH,math.GM,GM,"General Mathematics",30,2028-12-01,2028-12-30,queued,"general-interest mathematics"
32,MATH,math.HO,HO,"History and Overview",30,2028-12-31,2029-01-29,queued,"history, philosophy, communication, ethics"
